1.00	1.1372829798	1.6220709091	|0.4847879293|	29.89 %
1.00	1.1372829798	1.3881811114	|0.2508981316|	18.07 %
1.00	1.1372829798	1.1890129837	|0.0517300039|	4.35 %
1.00	1.1372829798	1.1632513042	|0.0259683244|	2.23 %
1.00	1.1372829798	1.1424933910	|0.0052104111|	0.46 %

2.00	5.9102533989	7.3802034298	|1.4699500309|	19.92 %
2.00	5.9102533989	6.6967203456	|0.7864669467|	11.74 %
2.00	5.9102533989	6.0769482343	|0.1666948354|	2.74 %
2.00	5.9102533989	5.9942290829	|0.0839756840|	1.40 %
2.00	5.9102533989	5.9271504404	|0.0168970415|	0.29 %

3.00	22.9999248290	24.7514918596	|1.7515670306|	7.08 %
3.00	22.9999248290	24.0260078092	|1.0260829802|	4.27 %
3.00	22.9999248290	23.2333484030	|0.2334235740|	1.00 %
3.00	22.9999248290	23.1185491605	|0.1186243315|	0.51 %
3.00	22.9999248290	23.0239608597	|0.0240360307|	0.10 %

4.00	61.3439537060	60.8205391378	|0.5234145683|	0.86 %
4.00	61.3439537060	61.4098321184	|0.0658784124|	0.11 %
4.00	61.3439537060	61.4221962495	|0.0782425435|	0.13 %
4.00	61.3439537060	61.3876097566	|0.0436560506|	0.07 %
4.00	61.3439537060	61.3534268549	|0.0094731489|	0.02 %

5.00	146.8007847063	139.3455062442	|7.4552784622|	5.35 %
5.00	146.8007847063	143.7414355185	|3.0593491878|	2.13 %
5.00	146.8007847063	146.3333355417	|0.4674491646|	0.32 %
5.00	146.8007847063	146.5775119429	|0.2232727634|	0.15 %
5.00	146.8007847063	146.7578530251	|0.0429316812|	0.03 %

