1.00	1.1768098396	1.1372829798	|0.0395268598|	3.35881 %
1.00	1.1472865657	1.1372829798	|0.0100035858|	0.87193 %
1.00	1.1376878241	1.1372829798	|0.0004048443|	0.03558 %
1.00	1.1373843499	1.1372829798	|0.0001013701|	0.00891 %
1.00	1.1372870398	1.1372829798	|0.0000040600|	0.00036 %

2.00	5.9533413846	5.9102533989	|0.0430879857|	0.72376 %
2.00	5.9214227128	5.9102533989	|0.0111693139|	0.18863 %
2.00	5.9107154192	5.9102533989	|0.0004620203|	0.00782 %
2.00	5.9103694198	5.9102533989	|0.0001160209|	0.00196 %
2.00	5.9102580565	5.9102533989	|0.0000046576|	0.00008 %

3.00	22.9176027358	22.9999248290	|0.0823220932|	0.35921 %
3.00	22.9798526734	22.9999248290	|0.0200721556|	0.08735 %
3.00	22.9991428988	22.9999248290	|0.0007819301|	0.00340 %
3.00	22.9997300753	22.9999248290	|0.0001947537|	0.00085 %
3.00	22.9999170626	22.9999248290	|0.0000077663|	0.00003 %

4.00	61.0222431740	61.3439537060	|0.3217105320|	0.52720 %
4.00	61.2633480374	61.3439537060	|0.0806056686|	0.13157 %
4.00	61.3407329736	61.3439537060	|0.0032207325|	0.00525 %
4.00	61.3431487767	61.3439537060	|0.0008049294|	0.00131 %
4.00	61.3439215179	61.3439537060	|0.0000321881|	0.00005 %

5.00	146.1425495890	146.8007847063	|0.6582351173|	0.45041 %
5.00	146.6334717248	146.8007847063	|0.1673129815|	0.11410 %
5.00	146.7940314375	146.8007847063	|0.0067532688|	0.00460 %
5.00	146.7990949190	146.8007847063	|0.0016897873|	0.00115 %
5.00	146.8007170705	146.8007847063	|0.0000676358|	0.00005 %

